pcb_id,mac,stage_label,device-idle_current_mA_avg,device-idle_ppk_current_mA_avg,pump_current_mA_avg,pump_ppk_current_mA_avg,valve_current_mA_avg,valve_ppk_current_mA_avg
9,d0:cf:13:08:76:9c,factory,-16.458333333333336,,84.82333333333334,,217.2316,
8,d0:cf:13:08:76:88,cycling-rt-post,169.73966666666666,,192.87518333333333,,331.8601333333333,
8,d0:cf:13:08:76:88,cycling-10c,278.229,,254.17538333333331,,378.63371666666666,
8,d0:cf:13:08:76:88,cycling-48c,-106.24999999999999,,25.812383333333333,,125.73076666666668,
8,d0:cf:13:08:76:88,cycling-rt-init,544.5315,,362.0452,,452.50085,
8,d0:cf:13:08:76:88,factory,-0.3646666666666665,2.9400323390505343,1.2869620000000002,5.130645039823582,226.51378333333332,493.17931263963857
7,d0:cf:13:08:76:94,cycling-rt-post,191.7185,,194.16865,,334.83472500000005,
7,d0:cf:13:08:76:94,cycling-10c,285.67699999999996,,249.50476666666665,,377.2572166666667,
7,d0:cf:13:08:76:94,cycling-48c,-101.56299999999999,,18.589033333333337,,126.5896,
7,d0:cf:13:08:76:94,cycling-rt-init,430.3643333333334,,304.20875,,410.43035000000003,
7,d0:cf:13:08:76:94,factory,-32.708333333333336,2.9956567360682556,-13.516170500000001,5.2231191173149325,209.04823333333334,496.5384022524973
6,d0:cf:13:08:76:d8,factory,-6.198,1.8892185791474454,45.05593916666667,179.02600687678708,105.75674050000002,240.99858974705208
5,d0:cf:13:08:76:90,factory,-46.823,2.9810913383585267,65.4602,352.64952685102776,188.93118333333334,497.98316333964914
4,d0:cf:13:08:76:ac,cycling-rt-post,96.32833333333333,,157.60331666666664,,293.406,
4,d0:cf:13:08:76:ac,cycling-10c,214.948,,209.150325,,332.321825,
4,d0:cf:13:08:76:ac,cycling-48c,-100.49483333333332,,28.052108333333337,,130.7779833333333,
4,d0:cf:13:08:76:ac,cycling-rt-init,216.01533333333336,,204.2224666666667,,321.32129166666664,
4,d0:cf:13:08:76:ac,factory,-6.2466,2.966419330123292,90.00914687500001,352.7936137810466,219.69521041666658,501.63015008974514
3,28:37:2f:8e:37:08,factory,-13.691458333333332,2.5740309851892698,73.98284768749998,310.07848408762425,182.8967463333333,433.7125277720082
